               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13938,            0.051433,            0.034287,                   0,                   0,                   0,                   0,            0.097625,            0.032739,            0.029158,             0.00019,             0.00019,             0.09829
                   1,             0.13605,            0.040833,            0.030693,             0.62459,           0.0017794,          0.00074272,          0.00021381,            0.091561,            0.042987,            0.021337,          0.00038965,          0.00038965,             0.09649
                   2,             0.13035,            0.043009,            0.026177,           0.0062739,            0.010676,           0.0010756,          0.00021167,            0.087759,            0.050853,            0.017044,          0.00058791,          0.00058791,            0.094688
                   3,             0.12083,              0.0447,            0.022058,            0.043015,            0.081505,            0.010612,           0.0018108,             0.08308,             0.05472,            0.014416,           0.0007837,           0.0007837,            0.092884
                   4,             0.11626,            0.044013,            0.018329,             0.12468,             0.14629,            0.043119,           0.0082825,             0.07727,            0.055981,             0.01164,            0.000976,            0.000976,            0.091076
                   5,              0.1196,            0.043603,            0.014067,             0.15931,             0.29655,             0.10308,            0.018902,            0.068792,            0.056324,           0.0081279,           0.0011638,           0.0011638,            0.089264
                   6,             0.10076,            0.046799,            0.010459,             0.22617,             0.41895,              0.1965,            0.038048,            0.061039,             0.05968,           0.0053319,           0.0013461,           0.0013461,            0.087446
                   7,            0.094115,            0.048058,           0.0078671,               0.213,             0.26201,               0.173,            0.042933,            0.063121,            0.059108,           0.0035997,           0.0015219,           0.0015219,            0.085622
                   8,            0.097678,            0.045072,           0.0062194,             0.32043,             0.40337,             0.31749,            0.074572,            0.058265,            0.061172,            0.002853,           0.0016904,           0.0016904,             0.08379
                   9,            0.094192,            0.048912,           0.0053332,              0.3416,             0.54456,             0.38202,             0.10515,            0.057499,            0.063935,           0.0024799,           0.0018506,           0.0018506,            0.081951
                  10,            0.084548,            0.049543,             0.00471,             0.37358,             0.51158,             0.40195,            0.095916,             0.05008,            0.065937,           0.0019485,           0.0020018,           0.0020018,            0.080102
                  11,            0.083149,            0.052803,           0.0040739,             0.39572,             0.51727,             0.38036,            0.096659,            0.049364,            0.066215,           0.0018748,           0.0021432,           0.0021432,            0.078243
                  12,            0.080934,            0.056133,           0.0041307,             0.34012,             0.53154,             0.34203,            0.088752,            0.049677,            0.067458,           0.0015753,           0.0022741,           0.0022741,            0.076374
