               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13938,            0.051433,            0.034287,                   0,                   0,                   0,                   0,            0.097625,            0.032739,            0.029158,             0.00019,             0.00019,             0.09829
                   1,             0.13605,            0.040833,            0.030692,             0.62462,           0.0017794,          0.00074277,          0.00021382,            0.091555,            0.043007,             0.02133,          0.00038985,          0.00038985,             0.09649
                   2,             0.13034,            0.042985,            0.026187,           0.0032549,             0.02669,            0.001038,          0.00023534,            0.087885,            0.050457,            0.017246,          0.00058907,          0.00058907,            0.094689
                   3,             0.12088,            0.044499,            0.021915,            0.025136,             0.14451,            0.010586,           0.0018071,            0.083083,            0.054362,            0.014196,           0.0007872,           0.0007872,            0.092887
                   4,             0.11634,            0.043931,            0.018253,             0.14207,             0.13739,            0.047738,           0.0089173,            0.075949,            0.057429,            0.011095,          0.00098376,          0.00098376,            0.091084
                   5,             0.11282,            0.044047,            0.013909,             0.16258,             0.27055,             0.10342,            0.019216,            0.066271,            0.060276,           0.0086925,           0.0011783,           0.0011783,            0.089278
                   6,            0.097904,            0.047321,            0.010617,             0.21898,              0.4267,             0.19189,            0.037967,             0.05955,            0.061686,           0.0056851,           0.0013703,           0.0013703,             0.08747
                   7,            0.094298,            0.048152,           0.0079056,             0.20068,             0.39979,             0.21233,            0.044991,            0.060618,            0.059525,           0.0038464,           0.0015595,           0.0015595,            0.085659
                   8,            0.096098,            0.045312,           0.0062075,             0.32656,             0.43826,             0.31464,            0.068157,            0.056018,            0.062851,            0.002976,           0.0017452,           0.0017452,            0.083845
                   9,            0.092637,            0.048987,           0.0053024,             0.34509,             0.52155,             0.35765,            0.094585,            0.057058,            0.063522,           0.0025144,           0.0019271,           0.0019271,            0.082027
                  10,             0.09277,            0.049484,           0.0047934,             0.35594,             0.49668,             0.36575,              0.0989,            0.050136,            0.068006,            0.002112,           0.0021048,           0.0021048,            0.080205
                  11,            0.081677,            0.052162,           0.0041436,             0.39041,             0.51834,             0.39445,             0.09204,            0.048515,            0.064784,           0.0016505,           0.0022778,           0.0022778,            0.078378
                  12,            0.083706,            0.056174,           0.0040415,             0.42154,             0.52334,              0.4279,              0.1218,            0.047263,            0.065179,            0.001562,           0.0024458,           0.0024458,            0.076546
                  13,             0.07894,            0.053505,           0.0037005,             0.39321,             0.55574,             0.43887,             0.12242,            0.050194,            0.062573,           0.0012334,           0.0026084,           0.0026084,            0.074708
                  14,            0.076184,            0.049881,           0.0030774,             0.47206,              0.4824,             0.44916,            0.087632,            0.049741,             0.06298,           0.0011458,           0.0027652,           0.0027652,            0.072865
                  15,            0.074777,            0.054392,           0.0027529,             0.48389,             0.50804,             0.47083,             0.14529,            0.044017,            0.063142,           0.0011381,           0.0029158,           0.0029158,            0.071016
                  16,            0.075111,            0.053146,           0.0031502,             0.44403,             0.57245,             0.46747,            0.096524,             0.04455,            0.065396,           0.0010683,             0.00306,             0.00306,             0.06916
                  17,            0.073794,            0.053619,           0.0032328,             0.35915,              0.5519,             0.37563,            0.088441,            0.044982,            0.062435,          0.00096301,           0.0031974,           0.0031974,            0.067297
                  18,             0.06976,            0.053418,           0.0028754,              0.5049,             0.59668,             0.54042,             0.18149,            0.038823,            0.065925,          0.00089314,           0.0033278,           0.0033278,            0.065428
                  19,            0.071916,            0.053399,           0.0026118,             0.41319,             0.55257,             0.44742,             0.12894,            0.046544,            0.065309,          0.00083945,           0.0034507,           0.0034507,            0.063551
                  20,            0.069715,            0.054325,           0.0027263,             0.57839,             0.49917,             0.56784,             0.19111,            0.042781,            0.064386,           0.0009063,           0.0035661,           0.0035661,            0.061666
                  21,            0.068444,            0.052408,           0.0026358,             0.59185,             0.57322,             0.59934,             0.23553,            0.037807,            0.064649,          0.00090971,           0.0036737,           0.0036737,            0.059774
                  22,            0.064726,            0.052524,           0.0025883,             0.64684,             0.66361,             0.70688,             0.27008,            0.034402,            0.066494,          0.00075664,           0.0037733,           0.0037733,            0.057873
                  23,            0.064491,            0.053575,           0.0025918,              0.4921,             0.61754,             0.55855,             0.20975,             0.03899,            0.069603,          0.00072884,           0.0038647,           0.0038647,            0.055965
                  24,            0.068718,            0.053323,           0.0025125,             0.55101,              0.6226,             0.61903,              0.2196,            0.043014,            0.063842,           0.0007709,           0.0039477,           0.0039477,            0.054048
                  25,            0.071829,            0.052197,           0.0025397,             0.55515,             0.63801,             0.64299,             0.24066,            0.046288,            0.060292,          0.00077006,           0.0040222,           0.0040222,            0.052122
                  26,            0.066473,            0.054628,           0.0024437,             0.52277,             0.70334,             0.61632,             0.21321,            0.035147,            0.067051,          0.00085635,           0.0040882,           0.0040882,            0.050188
                  27,            0.067122,            0.055002,           0.0022736,             0.61928,             0.57965,             0.62122,             0.22669,            0.043157,            0.063548,          0.00085421,           0.0041455,           0.0041455,            0.048246
                  28,            0.065142,            0.052245,           0.0023408,             0.53065,             0.66431,             0.59063,             0.17593,            0.040671,            0.071737,          0.00083678,           0.0041942,           0.0041942,            0.046294
                  29,            0.065796,            0.053566,           0.0023671,             0.64389,             0.74939,             0.72581,             0.26963,            0.036887,             0.06457,          0.00092695,           0.0042341,           0.0042341,            0.044334
                  30,            0.061885,            0.050313,           0.0023977,             0.69273,             0.71131,             0.73749,             0.28969,            0.036223,            0.063663,          0.00083925,           0.0042653,           0.0042653,            0.042365
                  31,            0.061942,             0.05181,           0.0023955,             0.47586,             0.69998,             0.58654,             0.20848,            0.039426,            0.064783,          0.00087318,           0.0042878,           0.0042878,            0.040388
                  32,             0.05901,            0.053254,           0.0021928,             0.79856,             0.70616,             0.82057,              0.3105,            0.033564,            0.065314,          0.00082757,           0.0043017,           0.0043017,            0.038402
                  33,            0.059174,            0.054911,           0.0019833,             0.61227,              0.6063,             0.64801,              0.2507,            0.039708,             0.06421,          0.00075736,            0.004307,            0.004307,            0.036407
                  34,            0.064486,            0.051374,           0.0020041,             0.68964,             0.73445,             0.76123,             0.29386,            0.033672,            0.065247,           0.0008762,            0.004304,            0.004304,            0.034404
                  35,            0.059736,            0.051878,           0.0020484,             0.65324,             0.71877,             0.71095,             0.25814,            0.033505,            0.063876,          0.00086698,           0.0042927,           0.0042927,            0.032393
                  36,            0.057576,            0.055201,           0.0018302,             0.65725,             0.68037,             0.68728,             0.24193,            0.032944,            0.064698,          0.00074967,           0.0042733,           0.0042733,            0.030373
                  37,            0.060318,            0.051405,           0.0019629,             0.58923,              0.7957,             0.68876,             0.27917,            0.032279,            0.065509,          0.00082132,            0.004246,            0.004246,            0.028346
                  38,            0.056602,            0.050731,           0.0018416,             0.81321,             0.77812,             0.86937,             0.37367,            0.031016,            0.061862,          0.00067765,           0.0042111,           0.0042111,            0.026311
                  39,            0.058641,            0.052744,           0.0015432,             0.78497,             0.79214,             0.84805,             0.30509,            0.034304,            0.062503,          0.00065226,           0.0041687,           0.0041687,            0.024269
                  40,             0.05655,            0.050316,           0.0017111,             0.80229,             0.78704,             0.87195,              0.3485,            0.030942,            0.061927,          0.00066055,           0.0041193,           0.0041193,            0.022219
                  41,             0.05378,            0.050338,           0.0015719,             0.52576,             0.63359,             0.58588,             0.22703,            0.036746,            0.062643,          0.00061999,            0.004063,            0.004063,            0.020163
                  42,            0.057955,            0.053795,            0.001492,             0.77732,             0.71946,             0.78671,             0.30289,            0.035542,            0.062456,          0.00062881,           0.0040002,           0.0040002,              0.0181
                  43,            0.056021,            0.053921,           0.0014326,             0.74165,             0.78297,             0.82092,             0.31735,            0.032984,            0.062996,          0.00068801,           0.0039313,           0.0039313,            0.016031
                  44,            0.052577,            0.051927,           0.0017199,             0.81294,             0.74658,             0.84665,             0.34979,            0.032376,            0.063047,          0.00063319,           0.0038566,           0.0038566,            0.013957
                  45,            0.055025,            0.048688,            0.001721,             0.76211,             0.71844,             0.74215,             0.22082,            0.038022,            0.062897,          0.00062372,           0.0037766,           0.0037766,            0.011877
                  46,            0.056863,            0.050321,           0.0014702,             0.78573,             0.78893,             0.84179,             0.32135,            0.032193,             0.06242,          0.00068771,           0.0036916,           0.0036916,           0.0097916
                  47,            0.054919,            0.052027,           0.0014839,             0.80188,             0.78893,             0.85764,             0.35569,            0.033233,            0.061508,          0.00067019,           0.0036022,           0.0036022,           0.0077022
                  48,            0.051986,            0.051176,           0.0013659,             0.79915,              0.7785,             0.84799,             0.31364,            0.033085,            0.063434,          0.00063383,           0.0035087,           0.0035087,           0.0056087
                  49,             0.05157,            0.051098,           0.0014228,             0.82964,              0.7849,             0.87136,             0.36597,            0.029692,             0.06424,          0.00060339,           0.0034118,           0.0034118,           0.0035118
