   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
0.42799,0.519,0.40992,0.10305,0.074022,0.10939,0.012403,0.01,0.1,0.937,0.0005,3,0.8,0.1,0.05,0.5,1,1,1,0.2,4,0,0.015,0.7,0.4,0,0.1,0.5,0,0,0,0.5,1,0,0,3
0.13391,0.36458,0.11411,0.023927,0.078093,0.059328,0.01665,0.00687,0.08667,0.94826,0.00051,3.7416,0.65059,0.08854,0.03832,0.37872,0.96651,0.83676,1,0.2,3.0295,0,0.01468,0.73585,0.45238,0,0.1,0.4462,0,0,0,0.5,1,0,0,2
0.47892,0.51447,0.45377,0.12167,0.077769,0.10205,0.013258,0.01051,0.10632,0.87702,0.0005,3.0484,0.68997,0.1,0.05,0.51762,1.1485,0.8822,0.96319,0.2,4.5165,0,0.015,0.6958,0.41811,0,0.09053,0.48244,0,0,0,0.5,1,0,0,2.4831
0.32264,0.55432,0.38306,0.1005,0.084355,0.11224,0.016634,0.00908,0.1,0.937,0.00054,3,0.8,0.10988,0.05,0.5,1,1.0563,1.0293,0.2,3.9568,0,0.01305,0.69977,0.38167,0,0.09018,0.35461,0,0,0,0.5,0.88388,0,0,3.5044
0.63982,0.60738,0.64729,0.22014,0.07048,0.13407,0.006251,0.00836,0.0924,0.937,0.00057,3.5438,0.86221,0.11952,0.05319,0.48186,0.93822,1.0558,1.2265,0.2,4.7484,0,0.01305,0.70432,0.51667,0,0.09018,0.17541,0,0,0,0.5,0.88388,0,0,2
0.32301,0.55545,0.39204,0.10366,0.084225,0.11648,0.016849,0.00906,0.09844,0.9367,0.00054,3.1038,0.79716,0.10896,0.05057,0.53392,0.98445,1.0979,1.0744,0.2,3.9112,0,0.01331,0.67361,0.37216,0,0.09355,0.33877,0,0,0,0.5,0.84713,0,0,3.6183
0.30359,0.47782,0.28708,0.069035,0.085236,0.10252,0.019536,0.00913,0.10995,0.93093,0.00044,3.3645,0.59829,0.1108,0.05,0.53136,1.1485,0.94758,1.0014,0.2,3.7177,0,0.01498,0.6958,0.5304,0,0.10476,0.40151,0,0,0,0.5,0.99335,0,0,2.4831
0.41839,0.53653,0.40503,0.1063,0.082401,0.1041,0.0097975,0.01051,0.09419,0.87702,0.0005,3.5542,0.68997,0.05983,0.05,0.72397,1.1485,0.8822,0.96319,0.2,5.1244,0,0.0146,0.73118,0.46854,0,0.08088,0.53476,0,0,0,0.5,1,0,0,2.4039
0.51652,0.56147,0.51073,0.15078,0.080802,0.088113,0.014339,0.0107,0.10632,0.86199,0.0005,3.3898,0.71623,0.10142,0.05544,0.4218,1.0997,0.73289,0.95066,0.2,4.5165,0,0.01495,0.71747,0.48088,0,0.08058,0.48244,0,0,0,0.5,1,0,0,2.1832
0.45533,0.58388,0.47476,0.12729,0.081239,0.10456,0.0083954,0.01075,0.11446,0.89052,0.0005,2.8721,0.71499,0.1072,0.05571,0.6028,1.1934,0.9319,0.93885,0.2,4.1898,0,0.01465,0.6958,0.38068,0,0.08646,0.48244,0,0,0,0.5,0.91145,0,0,2.4488
0.48759,0.52622,0.45808,0.11972,0.078929,0.085201,0.013548,0.00977,0.10217,0.86814,0.00062,2.8174,0.72401,0.0808,0.05148,0.5098,1.1485,0.71871,0.96903,0.2,4.2771,0,0.01651,0.74416,0.39179,0,0.07958,0.48479,0,0,0,0.5,1,0,0,2
0.44971,0.62496,0.47706,0.12571,0.078706,0.083194,0.0053959,0.01312,0.11096,0.89052,0.0005,2.5726,0.69429,0.10915,0.05571,0.67864,1.2126,0.72375,0.93885,0.2,4.1898,0,0.01566,0.67607,0.39383,0,0.08646,0.49662,0,0,0,0.5,0.83725,0,0,2.3234
0.44729,0.47282,0.40867,0.10266,0.082923,0.10532,0.011644,0.01002,0.12223,0.89052,0.0005,2.7365,0.66631,0.1072,0.05263,0.64546,1.1602,0.93318,0.93114,0.2,4.4237,0,0.01434,0.69359,0.38068,0,0.08646,0.48441,0,0,0,0.5,0.92018,0,0,2.3944
0.42927,0.53108,0.40718,0.10863,0.075341,0.11937,0.0065641,0.01075,0.11716,0.89052,0.00055,2.9497,0.80527,0.1047,0.05309,0.6028,1.2345,1.0246,1.0275,0.2,4.1898,0,0.01587,0.67394,0.36653,0,0.09613,0.48092,0,0,0,0.5,0.91145,0,0,2.7401
